exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,open_interest,open_interest_value,mark_price
binance,SOLUSDT,usdm_futures,1779164700000,1779164700000,history_downloader,{},9629084.78,817964250.0272509,
binance,SOLUSDT,usdm_futures,1779165000000,1779165000000,history_downloader,{},9626341.93,816185573.6558632,
binance,SOLUSDT,usdm_futures,1779165300000,1779165300000,history_downloader,{},9627155.46,817305146.1393462,
binance,SOLUSDT,usdm_futures,1779165600000,1779165600000,history_downloader,{},9638316.17,819798767.18683,
binance,SOLUSDT,usdm_futures,1779165900000,1779165900000,history_downloader,{},9625527.49,818799808.654442,
binance,SOLUSDT,usdm_futures,1779166200000,1779166200000,history_downloader,{},9598583.39,817607333.1602,
binance,SOLUSDT,usdm_futures,1779166500000,1779166500000,history_downloader,{},9598654.86,817385656.413358,
binance,SOLUSDT,usdm_futures,1779166800000,1779166800000,history_downloader,{},9593109.81,816412671.6162602,
binance,SOLUSDT,usdm_futures,1779167100000,1779167100000,history_downloader,{},9593547.56,816104315.0135285,
binance,SOLUSDT,usdm_futures,1779167400000,1779167400000,history_downloader,{},9594655.34,816001974.1846713,
binance,SOLUSDT,usdm_futures,1779167700000,1779167700000,history_downloader,{},9592657.86,814495332.1571069,
binance,SOLUSDT,usdm_futures,1779168000000,1779168000000,history_downloader,{},9591587.68,811761183.0408894,
binance,SOLUSDT,usdm_futures,1779168300000,1779168300000,history_downloader,{},9611279.67,811768680.9282,
binance,SOLUSDT,usdm_futures,1779168600000,1779168600000,history_downloader,{},9612528.37,815050941.6073066,
binance,SOLUSDT,usdm_futures,1779168900000,1779168900000,history_downloader,{},9603554.73,815384875.6265945,
binance,SOLUSDT,usdm_futures,1779169200000,1779169200000,history_downloader,{},9602008.64,816938895.0912,
binance,SOLUSDT,usdm_futures,1779169500000,1779169500000,history_downloader,{},9590588.41,815914601.3445231,
binance,SOLUSDT,usdm_futures,1779169800000,1779169800000,history_downloader,{},9585000.18,816743062.7082976,
binance,SOLUSDT,usdm_futures,1779170100000,1779170100000,history_downloader,{},9586975.55,816479454.7069993,
binance,SOLUSDT,usdm_futures,1779170400000,1779170400000,history_downloader,{},9588304.81,816348271.5234,
binance,SOLUSDT,usdm_futures,1779170700000,1779170700000,history_downloader,{},9589046.66,816813772.6329838,
binance,SOLUSDT,usdm_futures,1779171000000,1779171000000,history_downloader,{},9589528.11,816644213.8476,
binance,SOLUSDT,usdm_futures,1779171300000,1779171300000,history_downloader,{},9592233.35,817641970.754,
binance,SOLUSDT,usdm_futures,1779171600000,1779171600000,history_downloader,{},9590694.56,816935362.6208,
binance,SOLUSDT,usdm_futures,1779171900000,1779171900000,history_downloader,{},9591585.14,817203053.928,
binance,SOLUSDT,usdm_futures,1779172200000,1779172200000,history_downloader,{},9599046.48,818414702.8848,
binance,SOLUSDT,usdm_futures,1779172500000,1779172500000,history_downloader,{},9603640.65,819670729.4775,
binance,SOLUSDT,usdm_futures,1779172800000,1779172800000,history_downloader,{},9613525.45,821475749.7025,
binance,SOLUSDT,usdm_futures,1779173100000,1779173100000,history_downloader,{},9607079.52,821684643.1465659,
binance,SOLUSDT,usdm_futures,1779173400000,1779173400000,history_downloader,{},9606434.12,818948508.73,
binance,SOLUSDT,usdm_futures,1779173700000,1779173700000,history_downloader,{},9602383.44,818315116.7568,
binance,SOLUSDT,usdm_futures,1779174000000,1779174000000,history_downloader,{},9600010.65,818108998.5646634,
binance,SOLUSDT,usdm_futures,1779174300000,1779174300000,history_downloader,{},9597415.59,817128525.7520232,
binance,SOLUSDT,usdm_futures,1779174600000,1779174600000,history_downloader,{},9594363.61,818687716.4319364,
binance,SOLUSDT,usdm_futures,1779174900000,1779174900000,history_downloader,{},9594134.59,818768024.3275677,
binance,SOLUSDT,usdm_futures,1779175200000,1779175200000,history_downloader,{},9594044.48,819235458.1472,
binance,SOLUSDT,usdm_futures,1779175500000,1779175500000,history_downloader,{},9602672.93,819204027.6583,
binance,SOLUSDT,usdm_futures,1779175800000,1779175800000,history_downloader,{},9598554.93,818564764.4304,
binance,SOLUSDT,usdm_futures,1779176100000,1779176100000,history_downloader,{},9595063.41,819244942.9921904,
binance,SOLUSDT,usdm_futures,1779176400000,1779176400000,history_downloader,{},9597692.52,819834895.0584,
binance,SOLUSDT,usdm_futures,1779176700000,1779176700000,history_downloader,{},9602671.81,820469296.7252214,
binance,SOLUSDT,usdm_futures,1779177000000,1779177000000,history_downloader,{},9595917.69,820596805.1863788,
binance,SOLUSDT,usdm_futures,1779177300000,1779177300000,history_downloader,{},9593320.21,819461412.3382,
binance,SOLUSDT,usdm_futures,1779177600000,1779177600000,history_downloader,{},9593930.42,819705415.0848,
binance,SOLUSDT,usdm_futures,1779177900000,1779177900000,history_downloader,{},9594390.77,818482721.6629665,
binance,SOLUSDT,usdm_futures,1779178200000,1779178200000,history_downloader,{},9593898.02,816536660.4822,
