exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count,is_closed
binance,BTCUSDT,usdm_futures,1779233999999,1779233999999,history_downloader,{},1m,1779233940000,1779233999999,76905.2,76910.0,76891.1,76910.0,50.689,3898124.877,1053,True
binance,BTCUSDT,usdm_futures,1779234059999,1779234059999,history_downloader,{},1m,1779234000000,1779234059999,76909.9,76909.9,76891.1,76894.9,14.333,1102181.6364,620,True
binance,BTCUSDT,usdm_futures,1779234119999,1779234119999,history_downloader,{},1m,1779234060000,1779234119999,76894.9,76900.0,76894.8,76894.9,15.826,1216980.555,434,True
binance,BTCUSDT,usdm_futures,1779234179999,1779234179999,history_downloader,{},1m,1779234120000,1779234179999,76895.0,76895.0,76875.9,76877.3,14.678,1128465.06,696,True
binance,BTCUSDT,usdm_futures,1779234239999,1779234239999,history_downloader,{},1m,1779234180000,1779234239999,76877.2,76877.3,76857.2,76857.3,7.613,585196.326,632,True
binance,BTCUSDT,usdm_futures,1779234299999,1779234299999,history_downloader,{},1m,1779234240000,1779234299999,76857.2,76872.7,76857.2,76872.7,23.795,1828925.9377,717,True
binance,BTCUSDT,usdm_futures,1779234359999,1779234359999,history_downloader,{},1m,1779234300000,1779234359999,76872.7,76886.1,76846.7,76862.5,30.795,2367139.8693,1460,True
binance,BTCUSDT,usdm_futures,1779234419999,1779234419999,history_downloader,{},1m,1779234360000,1779234419999,76862.5,76866.9,76844.3,76844.3,14.592,1121554.2705,638,True
binance,BTCUSDT,usdm_futures,1779234479999,1779234479999,history_downloader,{},1m,1779234420000,1779234479999,76844.3,76844.4,76808.3,76815.1,13.709,1053144.4705,992,True
binance,BTCUSDT,usdm_futures,1779234539999,1779234539999,history_downloader,{},1m,1779234480000,1779234539999,76815.0,76853.9,76815.0,76853.9,27.346,2101135.7626,848,True
binance,BTCUSDT,usdm_futures,1779234599999,1779234599999,history_downloader,{},1m,1779234540000,1779234599999,76853.9,76863.7,76847.6,76863.7,10.839,833024.5092,594,True
binance,BTCUSDT,usdm_futures,1779234659999,1779234659999,history_downloader,{},1m,1779234600000,1779234659999,76863.7,76869.6,76845.6,76845.6,11.54,887036.3453,642,True
binance,BTCUSDT,usdm_futures,1779234719999,1779234719999,history_downloader,{},1m,1779234660000,1779234719999,76845.6,76858.0,76833.6,76842.4,17.974,1381237.1526,880,True
binance,BTCUSDT,usdm_futures,1779234779999,1779234779999,history_downloader,{},1m,1779234720000,1779234779999,76842.4,76850.7,76842.4,76850.6,3.87,297405.2341,383,True
binance,BTCUSDT,usdm_futures,1779234839999,1779234839999,history_downloader,{},1m,1779234780000,1779234839999,76850.5,76850.6,76846.6,76850.5,3.348,257289.9678,218,True
binance,BTCUSDT,usdm_futures,1779234899999,1779234899999,history_downloader,{},1m,1779234840000,1779234899999,76850.5,76850.5,76795.3,76808.3,62.858,4828054.4615,1499,True
binance,BTCUSDT,usdm_futures,1779234959999,1779234959999,history_downloader,{},1m,1779234900000,1779234959999,76808.3,76808.4,76793.0,76799.9,15.873,1219020.0028,516,True
binance,BTCUSDT,usdm_futures,1779235019999,1779235019999,history_downloader,{},1m,1779234960000,1779235019999,76800.0,76802.1,76793.0,76793.1,6.026,462788.4493,329,True
binance,BTCUSDT,usdm_futures,1779235079999,1779235079999,history_downloader,{},1m,1779235020000,1779235079999,76793.0,76793.1,76782.9,76783.1,13.572,1042135.6733,501,True
binance,BTCUSDT,usdm_futures,1779235139999,1779235139999,history_downloader,{},1m,1779235080000,1779235139999,76783.0,76785.1,76783.0,76785.0,5.495,421932.9773,148,True
binance,BTCUSDT,usdm_futures,1779235199999,1779235199999,history_downloader,{},1m,1779235140000,1779235199999,76785.1,76800.0,76780.0,76799.9,24.38,1872087.6936,988,True
binance,BTCUSDT,usdm_futures,1779235259999,1779235259999,history_downloader,{},1m,1779235200000,1779235259999,76800.0,76810.4,76774.0,76777.0,48.705,3740451.8045,2146,True
binance,BTCUSDT,usdm_futures,1779235319999,1779235319999,history_downloader,{},1m,1779235260000,1779235319999,76777.0,76816.1,76777.0,76803.0,15.278,1173413.3556,1279,True
binance,BTCUSDT,usdm_futures,1779235379999,1779235379999,history_downloader,{},1m,1779235320000,1779235379999,76803.0,76853.6,76802.9,76853.5,36.097,2773651.5952,1427,True
binance,BTCUSDT,usdm_futures,1779235439999,1779235439999,history_downloader,{},1m,1779235380000,1779235439999,76853.5,76863.4,76841.8,76841.9,34.424,2645629.7559,1183,True
binance,BTCUSDT,usdm_futures,1779235499999,1779235499999,history_downloader,{},1m,1779235440000,1779235499999,76841.9,76842.4,76826.4,76826.5,11.248,864300.1516,840,True
binance,BTCUSDT,usdm_futures,1779235559999,1779235559999,history_downloader,{},1m,1779235500000,1779235559999,76826.4,76826.5,76777.0,76777.0,22.492,1727430.0519,1541,True
binance,BTCUSDT,usdm_futures,1779235619999,1779235619999,history_downloader,{},1m,1779235560000,1779235619999,76777.0,76777.0,76719.2,76760.3,131.176,10067601.6975,4115,True
binance,BTCUSDT,usdm_futures,1779235679999,1779235679999,history_downloader,{},1m,1779235620000,1779235679999,76760.2,76760.2,76716.7,76718.6,33.166,2544639.9865,1474,True
binance,BTCUSDT,usdm_futures,1779235739999,1779235739999,history_downloader,{},1m,1779235680000,1779235739999,76718.6,76720.0,76677.2,76679.4,96.885,7429873.9704,2259,True
binance,BTCUSDT,usdm_futures,1779235799999,1779235799999,history_downloader,{},1m,1779235740000,1779235799999,76679.5,76711.0,76670.0,76676.9,106.208,8145721.2407,2805,True
binance,BTCUSDT,usdm_futures,1779235859999,1779235859999,history_downloader,{},1m,1779235800000,1779235859999,76677.0,76687.4,76674.4,76674.4,53.163,4076400.7285,1177,True
binance,BTCUSDT,usdm_futures,1779235919999,1779235919999,history_downloader,{},1m,1779235860000,1779235919999,76674.5,76674.5,76614.1,76614.4,182.801,14009726.4441,2612,True
binance,BTCUSDT,usdm_futures,1779235979999,1779235979999,history_downloader,{},1m,1779235920000,1779235979999,76614.3,76614.3,76563.3,76565.0,303.613,23249977.8431,4516,True
binance,BTCUSDT,usdm_futures,1779236039999,1779236039999,history_downloader,{},1m,1779235980000,1779236039999,76565.0,76582.1,76500.0,76533.8,345.712,26457805.7298,6245,True
binance,BTCUSDT,usdm_futures,1779236099999,1779236099999,history_downloader,{},1m,1779236040000,1779236099999,76533.8,76564.3,76517.1,76543.2,113.865,8714979.8805,2637,True
binance,BTCUSDT,usdm_futures,1779236159999,1779236159999,history_downloader,{},1m,1779236100000,1779236159999,76543.1,76560.2,76503.4,76557.5,115.204,8816691.2351,3903,True
binance,BTCUSDT,usdm_futures,1779236219999,1779236219999,history_downloader,{},1m,1779236160000,1779236219999,76557.5,76565.8,76533.3,76533.4,36.392,2785864.69,1771,True
binance,BTCUSDT,usdm_futures,1779236279999,1779236279999,history_downloader,{},1m,1779236220000,1779236279999,76533.3,76592.2,76503.7,76592.2,57.156,4375261.0436,3039,True
binance,BTCUSDT,usdm_futures,1779236339999,1779236339999,history_downloader,{},1m,1779236280000,1779236339999,76592.1,76592.2,76544.4,76544.5,49.053,3756221.9345,2114,True
