exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,BTCUSDT,1h,1778990400000,1778993999999,77990.20,78179.10,77957.20,78117.40,1965.339,153473329.75280,50138
binance,usdm_futures,BTCUSDT,1h,1778994000000,1778997599999,78117.40,78300.00,78064.80,78087.70,2299.316,179739418.57100,48299
binance,usdm_futures,BTCUSDT,1h,1778997600000,1779001199999,78087.60,78172.70,77970.00,78071.60,1561.292,121887806.47670,38779
binance,usdm_futures,BTCUSDT,1h,1779001200000,1779004799999,78071.60,78175.30,78015.00,78137.20,1336.456,104377720.49730,36381
binance,usdm_futures,BTCUSDT,1h,1779004800000,1779008399999,78137.30,78157.90,77992.10,78050.70,1306.842,102019206.50660,34516
binance,usdm_futures,BTCUSDT,1h,1779008400000,1779011999999,78050.70,78266.60,78041.80,78214.30,1740.301,136015866.40660,38483
binance,usdm_futures,BTCUSDT,1h,1779012000000,1779015599999,78214.30,78564.30,78208.20,78423.00,5786.248,453682493.43350,113195
binance,usdm_futures,BTCUSDT,1h,1779015600000,1779019199999,78423.00,78436.00,78245.70,78371.50,2147.004,168199350.04070,63268
binance,usdm_futures,BTCUSDT,1h,1779019200000,1779022799999,78371.40,78515.70,78280.10,78326.90,2107.738,165256056.49340,55866
binance,usdm_futures,BTCUSDT,1h,1779022800000,1779026399999,78326.90,78331.20,78128.50,78165.00,2499.130,195495250.67050,64162
binance,usdm_futures,BTCUSDT,1h,1779026400000,1779029999999,78165.00,78177.80,77800.00,78009.60,5105.450,398144823.77710,119925
binance,usdm_futures,BTCUSDT,1h,1779030000000,1779033599999,78009.70,78087.00,77875.00,78006.90,2191.933,170952544.66920,62183
binance,usdm_futures,BTCUSDT,1h,1779033600000,1779037199999,78006.90,78165.30,77979.80,77995.00,1737.293,135618645.76050,48109
binance,usdm_futures,BTCUSDT,1h,1779037200000,1779040799999,77995.10,78054.30,77811.50,78044.80,2930.670,228403421.85760,73773
binance,usdm_futures,BTCUSDT,1h,1779040800000,1779044399999,78044.80,78235.20,77960.70,78226.20,1824.560,142534767.02910,60427
binance,usdm_futures,BTCUSDT,1h,1779044400000,1779047999999,78226.20,78432.00,78172.20,78369.00,2074.009,162408484.87660,56484
binance,usdm_futures,BTCUSDT,1h,1779048000000,1779051599999,78368.90,78393.90,78208.90,78230.00,1173.721,91880525.05000,38726
binance,usdm_futures,BTCUSDT,1h,1779051600000,1779055199999,78230.10,78453.00,78190.60,78365.40,2194.705,171979051.18210,46907
binance,usdm_futures,BTCUSDT,1h,1779055200000,1779058799999,78365.40,78372.80,77777.00,77961.60,5643.159,440247034.43870,155918
binance,usdm_futures,BTCUSDT,1h,1779058800000,1779062399999,77961.70,77970.00,76666.00,77430.40,24982.540,1930193869.32180,410512
binance,usdm_futures,BTCUSDT,1h,1779062400000,1779065999999,77430.40,77452.70,76875.00,77175.70,10777.547,831081634.29670,305724
binance,usdm_futures,BTCUSDT,1h,1779066000000,1779069599999,77175.70,77274.80,76700.00,77084.50,10313.877,793500745.40060,259991
binance,usdm_futures,BTCUSDT,1h,1779069600000,1779073199999,77084.50,77190.00,76668.80,76809.40,5970.755,459458374.71120,138063
binance,usdm_futures,BTCUSDT,1h,1779073200000,1779076799999,76809.40,76999.20,76777.00,76900.00,3091.878,237782280.47070,99093
binance,usdm_futures,BTCUSDT,1h,1779076800000,1779080399999,76900.10,77045.90,76740.00,77000.20,3443.145,264776271.21510,91379
binance,usdm_futures,BTCUSDT,1h,1779080400000,1779083999999,77000.20,77059.60,76850.00,76886.50,3158.444,243041760.92880,86128
binance,usdm_futures,BTCUSDT,1h,1779084000000,1779087599999,76886.50,76942.00,76534.50,76881.30,7189.696,551711374.84040,163452
binance,usdm_futures,BTCUSDT,1h,1779087600000,1779091199999,76881.40,77054.60,76728.70,77039.40,4449.391,342389484.13610,121315
binance,usdm_futures,BTCUSDT,1h,1779091200000,1779094799999,77039.50,77193.50,76850.00,77001.00,3716.680,286225262.55610,102544
binance,usdm_futures,BTCUSDT,1h,1779094800000,1779098399999,77001.00,77025.10,76840.10,76901.40,1667.379,128259006.30380,63246
binance,usdm_futures,BTCUSDT,1h,1779098400000,1779101999999,76901.40,76923.40,76670.10,76733.20,4468.687,343070225.24750,113292
binance,usdm_futures,BTCUSDT,1h,1779102000000,1779105599999,76733.30,77375.00,76627.00,77255.00,7756.521,598100712.23160,168385
