exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,RIVERUSDT,1779105600000,2976485.90000000,23398338.02919109
binance,usdm_futures,RIVERUSDT,1779106500000,2972915.30000000,23526282.74589181
binance,usdm_futures,RIVERUSDT,1779107400000,2978394.50000000,23573992.46750000
binance,usdm_futures,RIVERUSDT,1779108300000,2976537.30000000,23756302.70875897
binance,usdm_futures,RIVERUSDT,1779109200000,2972170.90000000,23420706.69200000
binance,usdm_futures,RIVERUSDT,1779110100000,2989046.50000000,23855566.30710517
binance,usdm_futures,RIVERUSDT,1779111000000,2991262.90000000,23926380.78270935
binance,usdm_futures,RIVERUSDT,1779111900000,2975554.00000000,23423892.95153762
binance,usdm_futures,RIVERUSDT,1779112800000,2950473.70000000,22840346.88839812
binance,usdm_futures,RIVERUSDT,1779113700000,2913984.20000000,22443554.97193614
binance,usdm_futures,RIVERUSDT,1779114600000,2898852.40000000,22286377.25120000
binance,usdm_futures,RIVERUSDT,1779115500000,2894285.00000000,22123005.53191005
binance,usdm_futures,RIVERUSDT,1779116400000,2891992.00000000,22204714.57600000
binance,usdm_futures,RIVERUSDT,1779117300000,2884044.70000000,21961999.15036078
binance,usdm_futures,RIVERUSDT,1779118200000,2881772.00000000,21956220.86800000
binance,usdm_futures,RIVERUSDT,1779119100000,2878622.40000000,21773844.47769125
binance,usdm_futures,RIVERUSDT,1779120000000,2871175.70000000,21638112.14496749
binance,usdm_futures,RIVERUSDT,1779120900000,2860585.10000000,21557369.31360000
binance,usdm_futures,RIVERUSDT,1779121800000,2862238.20000000,21575551.55160000
binance,usdm_futures,RIVERUSDT,1779122700000,2868734.20000000,21575198.57617410
binance,usdm_futures,RIVERUSDT,1779123600000,2869087.40000000,21842362.37620000
binance,usdm_futures,RIVERUSDT,1779124500000,2870415.10000000,21932030.71460934
binance,usdm_futures,RIVERUSDT,1779125400000,2871423.30000000,21935168.26445726
binance,usdm_futures,RIVERUSDT,1779126300000,2869250.20000000,21929679.27860000
binance,usdm_futures,RIVERUSDT,1779127200000,2869384.00000000,21790102.09600000
binance,usdm_futures,RIVERUSDT,1779128100000,2857092.00000000,21508188.57600000
binance,usdm_futures,RIVERUSDT,1779129000000,2850430.00000000,21594973.63549240
binance,usdm_futures,RIVERUSDT,1779129900000,2849504.40000000,21604942.36080000
binance,usdm_futures,RIVERUSDT,1779130800000,2847163.70000000,21416365.35140000
binance,usdm_futures,RIVERUSDT,1779131700000,2833702.20000000,21272602.41540000
binance,usdm_futures,RIVERUSDT,1779132600000,2827164.30000000,21096300.00660000
binance,usdm_futures,RIVERUSDT,1779133500000,2818928.60000000,21122231.99980000
binance,usdm_futures,RIVERUSDT,1779134400000,2821313.50000000,21210634.89300000
binance,usdm_futures,RIVERUSDT,1779135300000,2818993.00000000,21162180.45100000
binance,usdm_futures,RIVERUSDT,1779136200000,2816384.90000000,21034984.72986919
binance,usdm_futures,RIVERUSDT,1779137100000,2817529.10000000,20917158.98487136
binance,usdm_futures,RIVERUSDT,1779138000000,2811899.30000000,20932900.73068660
binance,usdm_futures,RIVERUSDT,1779138900000,2814462.50000000,20951947.82183050
binance,usdm_futures,RIVERUSDT,1779139800000,2812796.20000000,20913139.74700000
binance,usdm_futures,RIVERUSDT,1779140700000,2817265.90000000,21071825.80307007
binance,usdm_futures,RIVERUSDT,1779141600000,2819576.00000000,21135357.23933808
binance,usdm_futures,RIVERUSDT,1779142500000,2818842.20000000,21149773.02660000
binance,usdm_futures,RIVERUSDT,1779143400000,2819974.70000000,21178756.38790360
binance,usdm_futures,RIVERUSDT,1779144300000,2817913.90000000,21030091.43570000
binance,usdm_futures,RIVERUSDT,1779145200000,2816373.10000000,20981979.59500000
binance,usdm_futures,RIVERUSDT,1779146100000,2819703.10000000,21091419.50975433
binance,usdm_futures,RIVERUSDT,1779147000000,2820411.30000000,21179152.40144025
binance,usdm_futures,RIVERUSDT,1779147900000,2816593.90000000,20802449.63098513
binance,usdm_futures,RIVERUSDT,1779148800000,2828340.20000000,20847695.61420000
binance,usdm_futures,RIVERUSDT,1779149700000,2821603.10000000,20755712.40360000
binance,usdm_futures,RIVERUSDT,1779150600000,2817794.40000000,20919305.62560000
binance,usdm_futures,RIVERUSDT,1779151500000,2807491.50000000,20774501.44730780
binance,usdm_futures,RIVERUSDT,1779152400000,2805575.10000000,20690200.25806260
binance,usdm_futures,RIVERUSDT,1779153300000,2804736.40000000,20586765.17600000
binance,usdm_futures,RIVERUSDT,1779154200000,2805585.80000000,20489193.09740000
binance,usdm_futures,RIVERUSDT,1779155100000,2813917.50000000,20581325.28446602
binance,usdm_futures,RIVERUSDT,1779156000000,2813952.10000000,20488510.40468941
binance,usdm_futures,RIVERUSDT,1779156900000,2799529.90000000,20190913.32863566
binance,usdm_futures,RIVERUSDT,1779157800000,2801272.50000000,20248494.40136543
binance,usdm_futures,RIVERUSDT,1779158700000,2801280.80000000,20496971.61360000
binance,usdm_futures,RIVERUSDT,1779159600000,2804390.40000000,20267329.42080000
binance,usdm_futures,RIVERUSDT,1779160500000,2813848.00000000,20383063.43008840
binance,usdm_futures,RIVERUSDT,1779161400000,2815428.20000000,20304596.46142442
binance,usdm_futures,RIVERUSDT,1779162300000,2809227.60000000,20281555.03511282
binance,usdm_futures,RIVERUSDT,1779163200000,2811419.10000000,20243347.85104916
binance,usdm_futures,RIVERUSDT,1779164100000,2821621.00000000,20403141.45100000
binance,usdm_futures,RIVERUSDT,1779165000000,2826191.20000000,20523800.49440000
binance,usdm_futures,RIVERUSDT,1779165900000,2831864.60000000,20700930.22600000
binance,usdm_futures,RIVERUSDT,1779166800000,2837197.60000000,20743621.22629242
binance,usdm_futures,RIVERUSDT,1779167700000,2839667.00000000,20618822.08700000
binance,usdm_futures,RIVERUSDT,1779168600000,2843074.50000000,20730358.85809623
binance,usdm_futures,RIVERUSDT,1779169500000,2846411.40000000,20788548.87720778
binance,usdm_futures,RIVERUSDT,1779170400000,2847438.20000000,20811925.80380000
binance,usdm_futures,RIVERUSDT,1779171300000,2855504.50000000,20967969.54350000
binance,usdm_futures,RIVERUSDT,1779172200000,2856046.30000000,20823433.57330000
binance,usdm_futures,RIVERUSDT,1779173100000,2858650.70000000,20862432.80860000
binance,usdm_futures,RIVERUSDT,1779174000000,2866333.50000000,20757381.89469147
binance,usdm_futures,RIVERUSDT,1779174900000,2870832.10000000,20789175.49454740
binance,usdm_futures,RIVERUSDT,1779175800000,2884067.60000000,20855349.20054508
binance,usdm_futures,RIVERUSDT,1779176700000,2888861.90000000,20876786.33859406
binance,usdm_futures,RIVERUSDT,1779177600000,2895460.60000000,20804665.11404158
binance,usdm_futures,RIVERUSDT,1779178500000,2899581.20000000,20897210.78464385
binance,usdm_futures,RIVERUSDT,1779179400000,2918350.60000000,20945534.59253295
binance,usdm_futures,RIVERUSDT,1779180300000,2920233.30000000,20973115.56060000
binance,usdm_futures,RIVERUSDT,1779181200000,2914658.80000000,20744453.42256862
binance,usdm_futures,RIVERUSDT,1779182100000,2920792.70000000,20880747.01230000
binance,usdm_futures,RIVERUSDT,1779183000000,2920587.90000000,20695285.85940000
binance,usdm_futures,RIVERUSDT,1779183900000,2922655.10000000,20745005.89980000
binance,usdm_futures,RIVERUSDT,1779184800000,2912707.90000000,20726829.41640000
binance,usdm_futures,RIVERUSDT,1779185700000,2896169.70000000,20445167.75677655
binance,usdm_futures,RIVERUSDT,1779186600000,2891567.70000000,20321937.79560000
binance,usdm_futures,RIVERUSDT,1779187500000,2892796.90000000,20313219.83180000
binance,usdm_futures,RIVERUSDT,1779188400000,2875342.30000000,20088016.50448927
binance,usdm_futures,RIVERUSDT,1779189300000,2871582.40000000,19985934.84564390
binance,usdm_futures,RIVERUSDT,1779190200000,2871634.00000000,19925693.36744052
binance,usdm_futures,RIVERUSDT,1779191100000,2812762.50000000,18835057.08710250
