exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,BTCUSDT,1779030000000,102021.71800000,7958861566.84913300
binance,usdm_futures,BTCUSDT,1779030900000,102093.70100000,7968413363.05000000
binance,usdm_futures,BTCUSDT,1779031800000,102236.80900000,7969359261.55000000
binance,usdm_futures,BTCUSDT,1779032700000,102445.60300000,7990388229.82920000
binance,usdm_futures,BTCUSDT,1779033600000,102476.75000000,7993929091.82829800
binance,usdm_futures,BTCUSDT,1779034500000,102497.44000000,7996963015.98400000
binance,usdm_futures,BTCUSDT,1779035400000,102572.36400000,8011455519.16560000
binance,usdm_futures,BTCUSDT,1779036300000,102599.23200000,8016252414.85440000
binance,usdm_futures,BTCUSDT,1779037200000,102639.96500000,8005404070.17500000
binance,usdm_futures,BTCUSDT,1779038100000,102553.02100000,7987207096.41485700
binance,usdm_futures,BTCUSDT,1779039000000,102540.62200000,7991429996.76260500
binance,usdm_futures,BTCUSDT,1779039900000,102529.83500000,7997768008.29050000
binance,usdm_futures,BTCUSDT,1779040800000,102530.07500000,8002216119.20523800
binance,usdm_futures,BTCUSDT,1779041700000,102532.68100000,8007431439.94926400
binance,usdm_futures,BTCUSDT,1779042600000,102595.71500000,8012731319.55943300
binance,usdm_futures,BTCUSDT,1779043500000,102576.74100000,8009438121.45840000
binance,usdm_futures,BTCUSDT,1779044400000,102607.51900000,8027388446.22757900
binance,usdm_futures,BTCUSDT,1779045300000,102587.60200000,8024371452.15940000
binance,usdm_futures,BTCUSDT,1779046200000,102590.54400000,8021022798.75137400
binance,usdm_futures,BTCUSDT,1779047100000,102518.31300000,8031367025.02823600
binance,usdm_futures,BTCUSDT,1779048000000,102497.19400000,8032859081.70217100
binance,usdm_futures,BTCUSDT,1779048900000,102483.19300000,8024620276.25518900
binance,usdm_futures,BTCUSDT,1779049800000,102493.76300000,8020895408.59620000
binance,usdm_futures,BTCUSDT,1779050700000,102440.17400000,8016179495.95233000
binance,usdm_futures,BTCUSDT,1779051600000,102424.06300000,8013805295.50998400
binance,usdm_futures,BTCUSDT,1779052500000,102368.31200000,8011471594.62710900
binance,usdm_futures,BTCUSDT,1779053400000,102333.78100000,8021740425.02800000
binance,usdm_futures,BTCUSDT,1779054300000,102312.52400000,8020504568.99756500
binance,usdm_futures,BTCUSDT,1779055200000,102366.30200000,8022041325.63297500
binance,usdm_futures,BTCUSDT,1779056100000,102247.13500000,7982911739.22754900
binance,usdm_futures,BTCUSDT,1779057000000,102377.49300000,7982749977.79381000
