exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,ETHUSDT,1779032700000,2294456.25600000,5013134529.17184000
binance,usdm_futures,ETHUSDT,1779033600000,2294435.85300000,5014466612.37297000
binance,usdm_futures,ETHUSDT,1779034500000,2293885.90600000,5010856128.50264000
binance,usdm_futures,ETHUSDT,1779035400000,2293843.57800000,5014273246.20066000
binance,usdm_futures,ETHUSDT,1779036300000,2294494.27000000,5016613437.09990000
binance,usdm_futures,ETHUSDT,1779037200000,2294795.77100000,5006249676.20536300
binance,usdm_futures,ETHUSDT,1779038100000,2295181.12100000,4999042192.40526000
binance,usdm_futures,ETHUSDT,1779039000000,2295834.41500000,5002508398.56425000
binance,usdm_futures,ETHUSDT,1779039900000,2293763.91600000,5003659974.51088400
binance,usdm_futures,ETHUSDT,1779040800000,2295748.15600000,5011058222.17228500
binance,usdm_futures,ETHUSDT,1779041700000,2294495.24900000,5008305473.87727600
binance,usdm_futures,ETHUSDT,1779042600000,2296479.79300000,5012939810.54384000
binance,usdm_futures,ETHUSDT,1779043500000,2294742.65000000,5008391993.86510200
binance,usdm_futures,ETHUSDT,1779044400000,2297695.62400000,5026479005.34065500
binance,usdm_futures,ETHUSDT,1779045300000,2296561.93100000,5023775155.30112000
binance,usdm_futures,ETHUSDT,1779046200000,2295548.65500000,5022061248.99567800
binance,usdm_futures,ETHUSDT,1779047100000,2294109.39400000,5026842153.47827150
binance,usdm_futures,ETHUSDT,1779048000000,2293645.17100000,5026380403.90646650
binance,usdm_futures,ETHUSDT,1779048900000,2292624.53000000,5018440464.94350000
binance,usdm_futures,ETHUSDT,1779049800000,2291944.82300000,5014614836.58639000
binance,usdm_futures,ETHUSDT,1779050700000,2292337.85400000,5016250690.60590900
binance,usdm_futures,ETHUSDT,1779051600000,2292122.40300000,5015252162.21261500
binance,usdm_futures,ETHUSDT,1779052500000,2291105.79800000,5013489351.41552000
binance,usdm_futures,ETHUSDT,1779053400000,2290152.15500000,5018914250.72560000
binance,usdm_futures,ETHUSDT,1779054300000,2288711.47800000,5016809785.54644000
binance,usdm_futures,ETHUSDT,1779055200000,2289586.88400000,5016461966.97516000
binance,usdm_futures,ETHUSDT,1779056100000,2290375.09200000,4998690977.41329100
binance,usdm_futures,ETHUSDT,1779057000000,2296160.27900000,5007214808.98437500
binance,usdm_futures,ETHUSDT,1779057900000,2295689.36700000,5007495388.66242000
binance,usdm_futures,ETHUSDT,1779058800000,2293580.58100000,4997140390.19053800
binance,usdm_futures,ETHUSDT,1779059700000,2294933.79500000,4985781755.96862300
binance,usdm_futures,ETHUSDT,1779060600000,2296064.08100000,4982459055.77000000
binance,usdm_futures,ETHUSDT,1779061500000,2210080.64200000,4684132918.72898900
binance,usdm_futures,ETHUSDT,1779062400000,2228492.70500000,4746684901.01739400
binance,usdm_futures,ETHUSDT,1779063300000,2220769.15400000,4706628898.16305500
binance,usdm_futures,ETHUSDT,1779064200000,2220837.53800000,4691252798.52044000
binance,usdm_futures,ETHUSDT,1779065100000,2233827.24200000,4710973111.98378400
binance,usdm_futures,ETHUSDT,1779066000000,2237216.51100000,4730370590.85840000
binance,usdm_futures,ETHUSDT,1779066900000,2237318.66100000,4725955517.96629200
binance,usdm_futures,ETHUSDT,1779067800000,2244922.66900000,4737286979.48287200
binance,usdm_futures,ETHUSDT,1779068700000,2255162.85800000,4759025075.98024000
binance,usdm_futures,ETHUSDT,1779069600000,2262933.82400000,4789657843.86368000
binance,usdm_futures,ETHUSDT,1779070500000,2258768.63200000,4794657848.10559000
binance,usdm_futures,ETHUSDT,1779071400000,2253913.28700000,4776992987.21954700
binance,usdm_futures,ETHUSDT,1779072300000,2251371.34700000,4765739639.72076300
binance,usdm_futures,ETHUSDT,1779073200000,2253669.46100000,4768005714.56490000
binance,usdm_futures,ETHUSDT,1779074100000,2251719.74700000,4767093359.17623000
binance,usdm_futures,ETHUSDT,1779075000000,2255356.77600000,4779709954.67352000
binance,usdm_futures,ETHUSDT,1779075900000,2256884.24700000,4786196991.45537000
binance,usdm_futures,ETHUSDT,1779076800000,2258015.35700000,4781669119.35562100
binance,usdm_futures,ETHUSDT,1779077700000,2256962.88600000,4786946600.76440000
binance,usdm_futures,ETHUSDT,1779078600000,2261296.08400000,4782279410.28656000
binance,usdm_futures,ETHUSDT,1779079500000,2266079.30000000,4806580803.23000000
binance,usdm_futures,ETHUSDT,1779080400000,2263812.83800000,4808089448.49982000
binance,usdm_futures,ETHUSDT,1779081300000,2263106.51600000,4803783046.18740000
binance,usdm_futures,ETHUSDT,1779082200000,2262576.33600000,4803653193.19824000
binance,usdm_futures,ETHUSDT,1779083100000,2260521.10400000,4788823537.97984000
binance,usdm_futures,ETHUSDT,1779084000000,2260348.98200000,4785769089.11914000
binance,usdm_futures,ETHUSDT,1779084900000,2259450.80000000,4784460299.72096200
binance,usdm_futures,ETHUSDT,1779085800000,2261633.19500000,4777488127.01583100
binance,usdm_futures,ETHUSDT,1779086700000,2262869.99900000,4789386981.58349000
binance,usdm_futures,ETHUSDT,1779087600000,2264000.72200000,4794972409.13824000
binance,usdm_futures,ETHUSDT,1779088500000,2263661.80700000,4791176034.22392000
binance,usdm_futures,ETHUSDT,1779089400000,2262826.64300000,4795002891.40783500
binance,usdm_futures,ETHUSDT,1779090300000,2261688.24500000,4783131384.93825000
binance,usdm_futures,ETHUSDT,1779091200000,2258452.66900000,4786898259.93883500
binance,usdm_futures,ETHUSDT,1779092100000,2257544.85400000,4785995090.48000000
binance,usdm_futures,ETHUSDT,1779093000000,2257880.55600000,4786871604.00058800
binance,usdm_futures,ETHUSDT,1779093900000,2256329.34800000,4776874862.65080000
binance,usdm_futures,ETHUSDT,1779094800000,2256282.92300000,4784049940.40559900
binance,usdm_futures,ETHUSDT,1779095700000,2256265.34600000,4776761926.67006000
binance,usdm_futures,ETHUSDT,1779096600000,2256199.84400000,4775897997.17090400
binance,usdm_futures,ETHUSDT,1779097500000,2256202.66700000,4775456002.94553000
binance,usdm_futures,ETHUSDT,1779098400000,2256960.04500000,4775163215.20875000
binance,usdm_futures,ETHUSDT,1779099300000,2259023.85100000,4773156148.40195900
binance,usdm_futures,ETHUSDT,1779100200000,2264167.43800000,4788465072.95182000
binance,usdm_futures,ETHUSDT,1779101100000,2267252.48800000,4791503089.72080800
binance,usdm_futures,ETHUSDT,1779102000000,2269805.15300000,4797149351.20875200
binance,usdm_futures,ETHUSDT,1779102900000,2268687.32700000,4792213726.16417800
binance,usdm_futures,ETHUSDT,1779103800000,2269847.00800000,4797681698.21756100
binance,usdm_futures,ETHUSDT,1779104700000,2250952.29900000,4807628939.25018000
