exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,ETHUSDT,1m,1779077580000,1779077639999,2119.94,2121.41,2119.94,2120.99,1303.591,2764586.32687,2044
binance,usdm_futures,ETHUSDT,1m,1779077640000,1779077699999,2121.00,2121.90,2120.69,2120.91,1089.223,2310581.64180,2233
binance,usdm_futures,ETHUSDT,1m,1779077700000,1779077759999,2120.91,2120.91,2120.30,2120.65,555.066,1177058.36361,1454
binance,usdm_futures,ETHUSDT,1m,1779077760000,1779077819999,2120.64,2121.58,2119.52,2119.90,2042.784,4332275.29136,2891
binance,usdm_futures,ETHUSDT,1m,1779077820000,1779077879999,2119.91,2119.92,2119.01,2119.01,621.743,1317816.41842,2083
binance,usdm_futures,ETHUSDT,1m,1779077880000,1779077939999,2119.01,2119.53,2118.99,2119.52,473.051,1002432.03664,1071
binance,usdm_futures,ETHUSDT,1m,1779077940000,1779077999999,2119.52,2120.33,2119.33,2119.53,619.450,1313115.82955,1757
binance,usdm_futures,ETHUSDT,1m,1779078000000,1779078059999,2119.53,2119.53,2118.30,2118.57,863.501,1829366.88119,1651
binance,usdm_futures,ETHUSDT,1m,1779078060000,1779078119999,2118.56,2118.57,2117.29,2117.47,944.361,1999983.07339,1899
binance,usdm_futures,ETHUSDT,1m,1779078120000,1779078179999,2117.47,2118.00,2117.37,2117.38,452.922,959199.14793,1143
binance,usdm_futures,ETHUSDT,1m,1779078180000,1779078239999,2117.38,2117.38,2114.26,2115.05,5470.123,11570667.82483,4641
binance,usdm_futures,ETHUSDT,1m,1779078240000,1779078299999,2115.05,2115.65,2114.41,2114.50,5416.161,11455054.84849,3582
binance,usdm_futures,ETHUSDT,1m,1779078300000,1779078359999,2114.50,2114.83,2113.00,2114.71,3402.936,7194271.08977,4480
binance,usdm_futures,ETHUSDT,1m,1779078360000,1779078419999,2114.72,2115.00,2114.70,2115.00,3238.796,6849909.70026,1529
binance,usdm_futures,ETHUSDT,1m,1779078420000,1779078479999,2114.99,2115.00,2114.35,2114.62,1125.394,2379871.97286,1505
binance,usdm_futures,ETHUSDT,1m,1779078480000,1779078539999,2114.62,2114.78,2114.00,2114.04,1152.509,2436611.53390,1371
binance,usdm_futures,ETHUSDT,1m,1779078540000,1779078599999,2114.04,2114.85,2113.47,2114.84,1492.066,3154392.14125,1667
binance,usdm_futures,ETHUSDT,1m,1779078600000,1779078659999,2114.84,2114.84,2113.93,2113.94,923.084,1951910.79651,1761
binance,usdm_futures,ETHUSDT,1m,1779078660000,1779078719999,2113.94,2115.00,2113.61,2114.09,8779.808,18568742.24216,2648
binance,usdm_futures,ETHUSDT,1m,1779078720000,1779078779999,2114.09,2115.77,2113.80,2115.77,5115.964,10819592.70579,2522
binance,usdm_futures,ETHUSDT,1m,1779078780000,1779078839999,2115.76,2115.77,2114.97,2114.97,911.369,1927799.85648,1782
binance,usdm_futures,ETHUSDT,1m,1779078840000,1779078899999,2114.96,2115.89,2114.96,2115.89,484.337,1024575.79716,1328
binance,usdm_futures,ETHUSDT,1m,1779078900000,1779078959999,2115.89,2116.84,2115.89,2116.24,1081.176,2288224.15304,1886
binance,usdm_futures,ETHUSDT,1m,1779078960000,1779079019999,2116.25,2117.16,2115.89,2116.53,798.943,1691038.03729,1971
binance,usdm_futures,ETHUSDT,1m,1779079020000,1779079079999,2116.54,2116.85,2116.10,2116.84,967.965,2048632.40250,1079
binance,usdm_futures,ETHUSDT,1m,1779079080000,1779079139999,2116.84,2117.15,2116.72,2116.80,626.385,1326007.51642,1361
binance,usdm_futures,ETHUSDT,1m,1779079140000,1779079199999,2116.79,2116.92,2116.00,2116.80,804.905,1703625.05730,1508
binance,usdm_futures,ETHUSDT,1m,1779079200000,1779079259999,2116.80,2119.15,2116.79,2118.79,1392.611,2949816.47467,2167
binance,usdm_futures,ETHUSDT,1m,1779079260000,1779079319999,2118.79,2120.96,2118.66,2120.33,2673.525,5668318.40291,3236
binance,usdm_futures,ETHUSDT,1m,1779079320000,1779079379999,2120.33,2120.64,2120.18,2120.63,1677.128,3556227.69086,1208
binance,usdm_futures,ETHUSDT,1m,1779079380000,1779079439999,2120.63,2120.84,2120.35,2120.83,950.919,2016547.79239,1424
binance,usdm_futures,ETHUSDT,1m,1779079440000,1779079499999,2120.83,2121.15,2120.83,2121.14,808.406,1714609.74790,1128
binance,usdm_futures,ETHUSDT,1m,1779079500000,1779079559999,2121.13,2122.70,2121.13,2122.69,4294.802,9112390.76687,3787
binance,usdm_futures,ETHUSDT,1m,1779079560000,1779079619999,2122.69,2123.33,2121.81,2122.50,2966.170,6296756.76285,4019
binance,usdm_futures,ETHUSDT,1m,1779079620000,1779079679999,2122.50,2122.51,2120.10,2120.77,2742.074,5815699.88683,3218
binance,usdm_futures,ETHUSDT,1m,1779079680000,1779079739999,2120.77,2121.51,2120.40,2120.40,811.097,1720421.29802,1619
binance,usdm_futures,ETHUSDT,1m,1779079740000,1779079799999,2120.40,2120.67,2120.28,2120.29,637.642,1352037.25815,997
binance,usdm_futures,ETHUSDT,1m,1779079800000,1779079859999,2120.28,2120.64,2118.81,2119.15,1242.982,2634587.99576,2456
binance,usdm_futures,ETHUSDT,1m,1779079860000,1779079919999,2119.15,2121.04,2119.14,2121.04,530.753,1125337.13714,1481
binance,usdm_futures,ETHUSDT,1m,1779079920000,1779079979999,2121.03,2122.02,2120.82,2121.72,2001.710,4246502.86348,2714
binance,usdm_futures,ETHUSDT,1m,1779079980000,1779080039999,2121.71,2121.99,2121.63,2121.81,837.132,1776198.86317,1183
binance,usdm_futures,ETHUSDT,1m,1779080040000,1779080099999,2121.80,2122.27,2121.80,2122.06,630.287,1337403.95186,665
binance,usdm_futures,ETHUSDT,1m,1779080100000,1779080159999,2122.05,2122.16,2121.12,2121.28,1247.299,2646300.32373,1409
binance,usdm_futures,ETHUSDT,1m,1779080160000,1779080219999,2121.29,2122.15,2121.25,2121.94,528.874,1122085.27200,920
binance,usdm_futures,ETHUSDT,1m,1779080220000,1779080279999,2121.93,2122.88,2121.93,2122.59,677.999,1439071.53050,1177
binance,usdm_futures,ETHUSDT,1m,1779080280000,1779080339999,2122.58,2123.00,2122.34,2122.99,821.761,1744478.48511,962
binance,usdm_futures,ETHUSDT,1m,1779080340000,1779080399999,2123.00,2124.58,2123.00,2123.69,3143.261,6676306.99089,3647
binance,usdm_futures,ETHUSDT,1m,1779080400000,1779080459999,2123.69,2124.80,2123.06,2123.26,2201.498,4676362.75338,3270
binance,usdm_futures,ETHUSDT,1m,1779080460000,1779080519999,2123.26,2123.26,2121.32,2121.76,5687.327,12067032.32246,3380
binance,usdm_futures,ETHUSDT,1m,1779080520000,1779080579999,2121.76,2122.77,2121.76,2122.11,777.173,1649500.86261,1813
binance,usdm_futures,ETHUSDT,1m,1779080580000,1779080639999,2122.11,2122.61,2122.01,2122.12,667.040,1415632.80232,1457
binance,usdm_futures,ETHUSDT,1m,1779080640000,1779080699999,2122.11,2123.84,2121.90,2123.84,1003.226,2130004.02132,2170
binance,usdm_futures,ETHUSDT,1m,1779080700000,1779080759999,2123.84,2124.01,2122.45,2123.08,1196.284,2540187.73854,2280
binance,usdm_futures,ETHUSDT,1m,1779080760000,1779080819999,2123.08,2123.25,2122.73,2123.09,670.993,1424497.54587,1091
binance,usdm_futures,ETHUSDT,1m,1779080820000,1779080879999,2123.08,2123.33,2122.21,2122.22,627.139,1331269.22115,1202
binance,usdm_futures,ETHUSDT,1m,1779080880000,1779080939999,2122.22,2122.62,2122.21,2122.28,326.054,692003.56733,1002
